data_seed,training_seed,w,initial_full_loss,final_full_loss,best_full_loss,best_epoch,late_mean,late_std,late_relative_std
42,40,0.0,0.4376342067718506,3.457167185842991e-05,3.4346454466382664e-05,9600,3.553548836637111e-05,6.883391021491314e-07,0.019370469741469453
42,41,0.0,0.33416357294718424,6.446020243068536e-05,6.446020243068536e-05,10000,6.843200320052723e-05,2.5765445724358634e-06,0.03765116395739256
42,42,0.0,0.4310536117553711,0.00011285677428046862,0.00011285677428046862,10000,0.00012141915401887328,7.14855734315968e-06,0.05887503829954634
42,43,0.0,0.5782825660705566,0.00013233541945616403,0.00013168213019768398,9800,0.000136607975920751,4.082544927177591e-06,0.029885113952247976
42,44,0.0,0.37702593421936037,3.848980708668629e-05,3.848980708668629e-05,10000,4.0059678359991976e-05,8.84092096249874e-07,0.022069375802398507
42,40,0.01,0.4412281605275472,0.008281290644009908,0.008281290644009908,10000,0.00831817626972047,2.0042405076476853e-05,0.002409471069930858
42,41,0.01,0.3378397485097249,0.00976514341433843,0.00976514341433843,10000,0.009899589274308037,8.652310436385661e-05,0.008740070114666895
42,42,0.01,0.435009720993042,0.009489662783145905,0.009488932185173035,9000,0.00950968461869255,9.965783201304474e-06,0.0010479614835717476
42,43,0.01,0.5809813223520914,0.010304184928735097,0.01028167447646459,9900,0.010560954306352708,0.0001543291186464245,0.014613179279981474
42,44,0.01,0.3801430522664388,0.007785002497831981,0.007785002497831981,10000,0.00782724826687858,3.016857339953048e-05,0.0038543013292666865
42,40,0.03,0.44841606803894046,0.018985318207740784,0.01898408176422119,9100,0.019019800262299796,2.711801284905892e-05,0.0014257780037160034
42,41,0.03,0.3451920996348063,0.01699078199227651,0.01699078199227651,10000,0.017456694225394535,0.00020075642330587566,0.011500254327295947
42,42,0.03,0.4429219394683838,0.015941208988825478,0.015941208988825478,10000,0.015972212829627686,1.9694664252768314e-05,0.0012330579652830359
42,43,0.03,0.5863788349151611,0.01866857378164927,0.018646994120279946,9100,0.018665035008589428,9.750101448275809e-06,0.0005223725240155686
42,44,0.03,0.3863772883605957,0.023301786039670307,0.02329844651222229,8200,0.023341808429748295,4.012695061293822e-05,0.0017191020453153007
42,40,0.1,0.47357374432881677,0.044450123818715416,0.04439929237365724,9400,0.0444529051424965,2.9023585454791017e-05,0.0006529063817483726
42,41,0.1,0.37092532857259114,0.03637253272533417,0.03630463322798411,9600,0.03634849077860514,2.9182641800260096e-05,0.0008028570423462288
42,42,0.1,0.47061470413208006,0.043875027187665304,0.04385323437054952,9700,0.043937292387371985,5.024499864149544e-05,0.0011435615603827322
42,43,0.1,0.6052701288859049,0.04261413751443227,0.0426067676226298,9500,0.04265456713986775,3.0267180334104623e-05,0.000709588266008095
42,44,0.1,0.40819711469014486,0.042091683387756346,0.042091683387756346,10000,0.04213182735102517,2.7786859240667598e-05,0.000659521814925302
42,40,0.3,0.545452819442749,0.09328677021662393,0.09322493902842204,9900,0.09336137221351504,0.00010445288682877534,0.0011188019665123849
42,41,0.3,0.44444883982340494,0.09342386105855306,0.09324906628926595,9300,0.09340949040972997,0.00010886422648879277,0.0011654514547855082
42,42,0.3,0.5497368888854981,0.09325610586802165,0.0931711584409078,9800,0.09334210187518407,0.00010635719807514895,0.0011394343596137196
42,43,0.3,0.6592452545166015,0.09317532256444294,0.09317468252182007,8900,0.0933315118486919,9.296848169496463e-05,0.0009961103152993406
42,44,0.3,0.4705394756317139,0.09318921171824138,0.09318921171824138,10000,0.09333614362080891,9.259295295067704e-05,0.0009920374825731907
42,40,1.0,0.7970295823415121,0.22170515314737957,0.22151932843526206,9800,0.22204712180485797,0.00045240646859586033,0.0020374345090293467
42,41,1.0,0.7017811292012532,0.22159685325622558,0.22159685325622558,10000,0.22191254246424114,0.00030764117627503823,0.0013863172079361461
42,42,1.0,0.8266645355224609,0.22144543774922687,0.22137135950724285,9800,0.2218305980742924,0.0003062084286301697,0.00138037056784934
42,43,1.0,0.8481581942240397,0.22164441998799644,0.22127508735656737,9900,0.22181181644258047,0.00029405353540356123,0.0013256892266588587
42,44,1.0,0.6887377389272054,0.22136687151590984,0.22125974655151365,9800,0.2219782192290775,0.0004465622732573248,0.0020117391463370586
40,42,0.1,0.4782640800476074,0.04459836807250977,0.04455759331385294,9400,0.044599193263432334,2.5398374341469504e-05,0.000569480577629508
41,42,0.1,0.46521112480163573,0.04038965531984965,0.04038965531984965,10000,0.04044038185354263,4.699249043297374e-05,0.00116201895924623
43,42,0.1,0.47673510856628415,0.0426660952091217,0.042651718091964726,9900,0.0426821536620458,2.6969403702712907e-05,0.0006318660467851433
44,42,0.1,0.49066304753621415,0.04295608557065328,0.04295608557065328,10000,0.04301864207661341,3.307494224736609e-05,0.0007688513781644191
